tick,aep_active,aep_hyperactive,alpha_protein_gut,tau_protein_gut,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
1,50,0,300,300,0,0,0,0,50,25672,11197,50,0,300,0,0,0,0,0,0,0,0
2,50,0,300,300,0,0,0,0,50,21485,12294,50,0,300,0,0,0,0,0,0,0,0
3,49,1,300,300,0,0,0,0,49,17741,13423,50,0,300,0,0,0,0,0,0,0,0
4,49,1,300,300,0,0,0,0,49,14739,15101,50,0,300,0,0,0,0,0,0,0,0
5,47,3,298,300,4,0,0,0,47,11498,16236,50,0,300,0,0,0,0,0,0,0,0
6,47,3,297,300,6,0,0,0,47,9581,17929,50,0,300,0,0,0,0,0,0,0,0
7,45,5,296,299,8,2,0,0,45,8050,18783,50,0,300,0,0,0,0,0,0,0,0
8,45,5,296,298,8,4,0,0,45,6710,19902,50,0,300,0,0,0,0,0,0,0,0
9,43,7,295,296,10,8,0,0,43,5251,21448,50,0,300,0,0,0,0,0,0,0,0
10,43,7,294,296,12,8,0,0,43,4494,22506,50,0,300,0,0,0,0,0,0,0,0
11,41,9,293,296,14,8,0,0,41,3872,24020,50,0,300,0,0,0,0,0,0,0,0
12,41,9,291,294,18,12,0,0,41,3243,25616,50,0,300,0,0,0,0,0,0,0,0
13,39,11,290,293,20,14,0,0,39,2713,26495,50,0,300,0,0,0,0,0,0,0,0
14,39,11,290,293,20,14,0,0,39,2279,27768,50,0,300,0,0,0,0,0,0,0,0
15,39,11,289,293,22,14,0,0,39,1915,29556,50,0,300,0,0,0,0,0,0,0,0
16,39,11,289,293,22,14,0,0,39,1626,30760,50,0,300,0,0,0,0,0,0,0,0
17,37,13,286,292,28,16,0,0,37,1317,32327,50,0,300,0,0,0,0,0,0,0,0
18,37,13,284,291,32,18,0,0,37,1127,33312,50,0,300,0,0,0,0,0,0,0,0
19,35,15,282,288,36,24,0,0,35,986,35063,50,0,300,0,0,0,0,0,0,0,0
20,35,15,282,286,36,28,0,0,35,823,36281,50,0,300,0,0,0,0,0,0,0,0
21,34,16,279,284,42,32,0,0,34,691,37799,50,0,300,0,0,0,0,0,0,0,0
22,34,16,277,281,46,38,0,0,34,580,38795,50,0,300,0,0,0,0,0,0,0,0
23,34,16,276,281,48,38,0,0,34,473,40609,50,0,300,0,0,0,0,0,0,0,0
24,34,16,275,281,50,38,0,0,34,408,41878,50,0,300,0,0,0,0,0,0,0,0
25,32,18,275,279,50,42,0,0,32,332,43344,50,0,300,0,0,0,0,0,0,0,0
26,32,18,274,278,52,44,0,0,32,287,44751,50,0,300,0,0,0,0,0,0,0,0
