tick,aep_active,aep_hyperactive,alpha_protein_gut,tau_protein_gut,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
334,0,50,42,46,383,365,22,28,29,23931,9890,23,27,0,24,276,867,785,889,779,1979,1975
335,0,50,41,46,385,365,22,28,30,19914,11110,24,26,0,24,276,880,780,895,775,1996,1984
336,0,50,41,46,385,365,22,28,30,16312,12485,22,28,0,24,276,890,776,909,773,2009,1999
337,0,50,41,46,372,357,25,30,29,14122,13838,22,28,0,24,276,814,793,828,788,2021,2015
338,0,50,41,46,372,357,25,29,29,18319,13804,21,29,0,24,276,811,794,842,784,2042,2023
339,0,50,41,46,372,357,24,29,29,19204,13612,21,29,0,24,276,820,788,848,783,2056,2038
340,0,50,41,46,372,357,24,28,29,22207,13292,21,29,0,23,277,829,787,862,781,2070,2053
341,0,50,41,46,372,357,24,28,29,23984,13489,23,27,0,23,277,833,785,864,780,2081,2069
342,0,50,41,46,371,345,24,31,29,25838,12771,22,28,0,22,278,792,793,837,785,2099,2079
343,0,50,41,45,371,347,24,30,29,25297,11607,23,27,0,22,278,806,790,844,781,2115,2090
344,0,50,40,45,373,347,24,30,29,25310,11136,24,26,0,22,278,813,789,855,776,2125,2106
345,0,50,40,44,373,349,24,30,30,25215,10186,23,27,0,22,278,820,787,866,772,2139,2119
346,0,50,40,43,369,351,25,30,30,19712,11398,21,29,0,22,278,830,786,878,769,2151,2136
347,0,50,39,42,371,353,25,30,29,16212,12805,21,29,0,22,278,785,794,818,779,2166,2150
348,0,50,39,41,371,355,25,30,29,20164,12589,24,26,0,22,278,794,792,826,777,2180,2162
349,0,50,39,40,371,357,24,30,29,22503,11538,26,24,0,21,279,799,794,828,777,2192,2174
350,0,50,39,40,371,357,24,30,29,25416,11028,27,23,0,21,279,809,790,839,774,2209,2180
351,0,50,37,40,367,357,26,30,30,25732,11026,26,24,0,20,280,816,789,852,772,2220,2193
352,0,50,37,40,367,357,26,30,30,21868,12286,27,23,0,20,280,781,798,810,781,2233,2203
353,0,50,36,40,369,357,26,30,30,19022,13706,25,25,0,20,280,789,794,820,779,2249,2212
354,0,50,36,40,369,357,26,30,30,15168,14918,28,22,0,20,280,800,790,827,775,2260,2223
355,0,50,35,40,371,357,26,30,28,17680,14517,27,23,0,19,281,809,788,837,773,2265,2241
356,0,50,35,40,363,356,28,30,28,20570,14197,27,23,0,19,281,818,786,842,769,2276,2253
